a        阿呵啊嗬
á        啊嗄
à        阿啊
ǎ        阿啊
ā        吖阿呵啊腌锕嗬
ái       挨捱皑癌
ài       艾唉爱砹隘嗌嗳嫒碍暧瑷噫
ǎi       嗳矮蔼霭
āi       哎哀诶唉埃挨嗳锿
àn       犴岸按案胺暗黯
ǎn       俺埯铵揞
ān       厂广安桉氨庵谙鹌鞍
áng      仰昂
àng      盎
āng      肮
áo       敖嗷廒獒遨骜熬翱聱螯嚣鳌鏖
ào       岙坳拗傲奥骜澳懊鏊
ǎo       艹夭拗袄媪
āo       凹熬
ba       扒吧罢
bá       拔茇菝跋魃
bà       叭伯坝把杷爸罢耙靶鲅霸灞
bǎ       把钯靶
bā       八巴叭扒吧岜芭疤捌笆粑
bái      白
bài      呗败拜稗
bǎi      百伯佰陌柏捭摆
bāi      掰擘
bàn      办半伴扮拌绊瓣
bǎn      阪坂板版钣舨
bān      扳班般颁斑搬瘢癍
bàng     旁蚌傍棒谤蒡榜膀磅镑
bǎng     绑榜膀
bāng     邦帮梆浜彭
báo      雹薄
bào      刨报抱豹趵鲍暴瀑曝爆
bǎo      宝饱保鸨堡葆褓褒
bāo      勹包孢苞炮胞剥煲龅褒
bei      呗臂
bèi      贝北孛狈邶备勃背钡倍悖被惫焙辈碚蓓褙鞴鐾
běi      北
bēi      陂卑杯背庳悲碑鹎
bèn      夯体坌奔笨
běn      本苯畚
bēn      奔贲锛
béng     甭
bèng     泵迸蚌堋绷甏蹦
běng     绷
bēng     崩绷嘣
bí       荸鼻
bì       币必毕闭佛庇芘拂泌畀哔毖荜贲陛毙狴秘铋婢庳敝萆弼愎筚滗痹睥蓖裨跸辟弊碧箅蔽壁嬖篦薜避濞臂髀璧襞
bǐ       匕比吡妣纰彼秕俾笔舭鄙
bī       逼
biàn     卞弁忭汴苄便变缏遍辨辩辫
biǎn     贬扁窆匾碥褊
biān     边砭笾编煸蝙鳊鞭
biào     鳔
biǎo     表婊裱
biāo     灬杓彪标飑髟骠膘瘭镖飙飚镳
bié      别蹩
biè      别
biě      瘪
biē      憋瘪鳖
bìn      摈殡膑髌鬓
bīn      份玢宾彬傧斌滨缤频槟镔濒豳
bìng     并枋病摒
bǐng     丙邴秉屏柄炳饼绠禀
bīng     冫冰并兵屏槟
bo       卜啵膊
bó       伯佛孛驳帛泊勃柏亳钹铂脖舶博渤鹁搏箔膊魄踣薄簿礴
bò       柏擗薄擘檗簸
bǒ       跛簸
bō       拨波玻剥般趵钵饽啵菠鲅播蕃
bú       醭
bù       不布步怖钚埔部埠瓿簿
bǔ       卜卟补哺捕堡
bū       逋钸晡
cǎ       礤
cā       拆嚓擦
cái      才材财裁
cài      采菜蔡
cǎi      采彩睬踩
cāi      猜
cán      残蚕惭
càn      灿掺孱粲璨
cǎn      惨黪
cān      参骖餐
cáng     臧藏
cāng     仓伧沧苍舱
cáo      曹嘈漕槽艚螬
cǎo      屮草
cāo      操糙
cè       册侧厕恻栅测策
cén      岑涔
cēn      参
céng     层曾
cèng     蹭
cēng     噌
chá      叉苴茌查茬茶搽猹楂槎察碴檫
chà      叉汊岔杈刹衩诧咤姹差
chǎ      叉衩镲
chā      叉杈差喳插馇碴锸嚓
chái     侪柴豺
chài     差虿瘥
chāi     拆钗差
chán     单婵崭谗孱禅馋缠蝉廛潺澶蟾躔
chàn     忏颤羼
chǎn     产谄铲阐蒇骣冁
chān     觇掺搀
chang    场
cháng    长场肠苌尝倘偿常徜嫦裳
chàng    怅畅倡鬯唱
chǎng    厂场昶惝淌敞氅
chāng    伥昌倡娼猖菖阊鲳
cháo     晁巢朝嘲潮
chào     耖
chǎo     吵炒
chāo     吵抄怊钞绰焯超剿
chè      屮彻坼掣撤澈
chě      尺扯
chē      车砗
chen     伧
chén     尘臣忱沈沉辰陈宸晨谌
chèn     衬称龀趁榇谶
chěn     碜
chēn     肜抻郴琛嗔
chéng    丞成呈承枨诚城乘埕晟盛铖惩程裎塍酲澄橙
chèng    秤称
chěng    逞骋惩裎
chēng    抢净柽秤称蛏铛噌撑樘瞠
chí      弛池驰迟坻茌持匙墀踟篪
chì      彳叱斥赤饬炽眙翅敕啻傺瘛
chǐ      尺侈齿耻豉褫
chī      吃哧蚩鸱眵笞嗤媸痴螭魑
chóng    虫种重崇
chòng    冲铳
chǒng    宠
chōng    充冲忡茺涌舂憧艟
chóu     仇俦帱惆绸畴愁稠筹酬踌雠
chòu     臭
chǒu     丑瞅
chōu     抽瘳
chú      刍处助除厨滁锄蜍雏橱躇蹰
chù      亍处怵绌畜搐触憷黜矗
chǔ      处杵础储楮楚褚
chū      出初樗
chuài    啜揣嘬膪踹
chuǎi    揣
chuāi    揣搋
chuán    传舡船遄椽
chuàn    串钏
chuǎn    舛喘
chuān    巛川氚穿
chuáng   床幢
chuàng   创怆
chuǎng   闯
chuāng   创疮窗
chuí     垂陲捶棰椎槌锤
chuī     吹炊
chún     纯肫唇莼淳鹑醇
chǔn     朐蠢
chūn     春椿蝽
chuo     绰
chuò     辶啜淖绰辍龊
chuō     踔戳
cí       词兹祠茈茨瓷粢慈辞磁雌鹚糍
cì       次伺刺赐
cǐ       此
cī       刺呲差疵
cóng     从丛淙琮
cōng     匆囱苁枞葱骢璁聪
còu      凑楱腠辏
cú       徂殂
cù       卒促猝趋酢蔟趣醋簇蹙蹴
cū       粗
cuán     攒
cuàn     窜篡镩爨
cuān     汆撺镩蹿
cuì      脆啐悴淬萃毳瘁粹翠
cuǐ      璀
cuī      隹衰崔催摧榱
cún      存蹲
cùn      寸
cǔn      忖
cūn      村皴
cuó      嵯痤矬瘥鹾
cuò      厝挫措锉错
cuǒ      脞
