a        阿呵啊嗬
á        啊嗄
à        阿啊
ǎ        阿啊
ā        吖阿呵啊腌锕嗬醃錒
ai       鱫
ái       挨啀娾捱皑硙凒隑嵦溰嘊敱敳皚磑癌騃
ài       艾伌阨唉欬爱砹硋堨焥隘嗌嗳塧嫒愛碍叆暧瑷僾噫噯壒嬡懓薆懝曖璦賹餲鴱皧瞹馤礙譺鑀靉
ǎi       佁毐昹娾欸絠嗳矮蔼躷噯濭藹譪霭靄
āi       哎哀诶唉埃娭挨嗳溾誒锿噯諰鎄
án       玵啽雸儑
àn       厈屵屽犴岸咹按洝荌案胺豻堓婩隌晻暗貋儑錌闇黯
ǎn       垵俺唵埯铵揞晻罯銨
ān       厂广安侒峖桉氨偣庵菴谙啽媕萻葊痷腤裺鹌蓭誝鞌鞍盦諳馣鮟盫鵪韽鶕
áng      卬仰岇昂昻
àng      枊盎醠
āng      肮骯
ao       澚
áo       敖厫奡隞嗷嗸嶅廒慠滶獒獓遨骜摮熬璈蔜磝墽翱聱螯翶謷謸嚣翺鳌鏕鏖驁囂鰲鷔鼇
ào       岙扷抝坳垇岰拗柪傲奡奥軪嫯嶅慠骜奧隩墺嶴澳懊擙鏊驁
ǎo       艹夭抝芺拗袄眑郩媪镺媼襖
āo       凹泑柪眑梎軪熬熝爊
ba       扒吧抜罢罷
bá       叐犮妭拔茇炦癹胈菝詙跋軷颰魃鼥
bà       叭伯坝弝把杷爸皅垻罢耙跁鲃靶鲅鲌罷鮁鮊覇矲霸壩灞欛
bǎ       把钯鈀靶
bā       丷八仈巴叭扒朳玐吧夿岜扷芭峇柭疤哱哵捌笆粑羓蚆釟豝鲃
bai      竡粨
bái      白犤
bài      呗庍拝败拜唄敗猈稗粺薭贁韛
bǎi      百伯佰陌柏栢捭絔摆擺襬
bāi      挀掰擘
baike    兡
ban      螁
bàn      办半伴扮坢姅怑拌绊柈秚湴絆跘鉡靽辦瓣
bǎn      阪坂岅昄板版瓪钣粄舨鈑蝂魬闆
bān      扳攽朌肦班般颁斑搬斒頒搫瘢鳻螌褩癍辬
bàng     玤挷旁蚄蚌傍棒棓硥谤塝搒稖蒡蛖榜膀蜯磅镑縍艕謗鎊髈
bǎng     绑綁榜牓膀髈
bāng     邦垹帮捠梆浜邫幇彭幚縍幫鞤
bao      佨藵
báo      窇雹薄
bào      勽犳刨报怉抱豹趵铇菢蚫袌報鉋鲍骲暴髱虣鮑儤曓嚗瀑曝爆犦忁鑤
bǎo      宝怉饱保鸨宲珤堡堢媬葆寚飹飽褓駂鳵緥褒鴇賲寳寶靌
bāo      勹包孢苞枹炮胞剝剥笣煲龅蕔裦褒闁襃齙
bei      呗唄臂
bèi      贝北孛狈貝邶备昁杮牬苝勃背郥钡俻倍悖狽被偝偹梖珼鄁備僃惫揹棑棓焙琲軰辈愂碚禙蓓蛽犕褙誖鞁骳輩鋇憊糒鞴鐾
běi      北鉳
bēi      陂卑杯柸盃背庳桮悲揹棓椑碑鹎箄諀鞞藣鵯
bèn      夯体坋坌奔泍炃倴捹桳渀笨逩撪體
běn      夲本苯奙畚翉楍
bēn      奔泍贲栟喯犇賁锛漰錛蟦
béng     甭甮
bèng     泵迸蚌堋绷逬揼跰塴綳蜯甏镚繃蹦鏰
běng     埄埲绷菶琣琫綳繃鞛
bēng     伻祊奟崩绷絣閍嗙嵭痭嘣綳繃
bí       荸鼻
bì       币必毕闬闭佖佛坒庇芘诐迊邲咇妼怭怶拂泌畀畁肶苾哔柲毖珌畐疪祕胇荜贲陛毙狴畢秘笓粊袐铋婢庳敝旇梐紴翍萆萞閇閈閉堛弻弼愊愎湢皕禆筚詖貱賁赑嗶彃滗滭煏痹痺睤睥腷蓖蓽蜌
bì       裨跸辟鉍閟飶幣弊熚獙碧稫箅箆綼蔽鄪馝幤潷獘罼駜髲壁嬖廦篦篳縪薜觱避鮅斃濞臂蹕鞞髀奰璧鄨鎞饆繴襞襣鏎鞸韠躃躄魓鶝朇贔鐴驆鷝鷩鼊
bǐ       匕比夶朼佊吡妣沘疕纰彼毞肶柀秕俾娝笔粃紕舭啚崥筆鄙箄聛貏
bī       皀屄畐偪毴逼楅榌豍螕鲾鎞鵖鰏
bian     峅
biàn     卞弁忭抃汳汴苄釆玣便变変昪覍徧揙缏遍閞辡緶艑諚辧辨辩辫辮辯變
biǎn     贬扁疺窆匾貶惼揙萹碥稨褊糄鴘藊覵鶣
biān     边辺炞砭笾猵编萹煸牑甂箯糄編臱蝙鞕獱邉鍽鳊邊鞭鯾鯿籓籩
biao     鋲
biáo     嫑
biào     俵摽鳔鰾
biǎo     表婊裱諘褾錶檦
biāo     灬杓彪标飑骉髟淲猋脿颩僄墂幖摽滮蔈颮骠標熛膔膘麃瘭磦镖飙飚儦檦篻颷瀌藨謤爂臕贆鏢穮镳飆飇飈飊驃鑣驫
bié      別别柲莂蛂徶襒蟞蹩
biè      別别彆
biě      瘪癟
biē      柭憋瘪蟞癟鳖鱉鼈虌龞
bìn      摈殡膑髩擯鬂殯臏髌鬓髕鬢
bīn      汃份邠玢砏宾彬梹傧斌椕滨缤频槟瑸豩賓賔镔儐濒頻擯濱濵虨豳檳璸瀕霦繽蠙鑌顮
bing     垪鞆
bìng     并並併幷枋庰倂栤病窉竝偋傡寎摒誁鮩靐
bǐng     丙邴陃怲抦秉苪屏昞昺柄炳饼眪绠偋屛蛃寎棅琕禀稟綆鈵鉼餅餠鞞鞸
bīng     冫仌氷冰并兵幷屏栟掤梹蛃絣槟檳
bo       卜啵膊蔔噃
